movie_id,person_category,person_name,person_id
20126686,director,우디 알렌,10052035
20126686,actor,오웬 윌슨,10050648
20126686,actor,마리옹 꼬띠아르,10022184
20126686,actor,레이첼 맥아담스,10015500
20126686,actor,애드리언 브로디,10045530
20162925,director,윌리엄 브렌트 벨,10053163
20162925,actor,로렌 코핸,10016214
20162925,actor,루퍼트 에반스,10018958
20192961,director,젯니풋 사슁,10081604
20167542,director,F. 게리 그레이,10091258
20167542,actor,빈 디젤,10033301
20167542,actor,드웨인 존슨,10013266
20167542,actor,샤를리즈 테론,10035154
20167542,actor,제이슨 스타뎀,10063676
20167542,actor,스콧 이스트우드,20170601
20167542,actor,커트 러셀,10075185
20167542,actor,미셸 로드리게즈,10027165
20176061,director,박규식,10028475
20176061,actor,박인환,10029093
20176061,actor,오미희,10050338
20176061,actor,남경읍,10007481
20119529,director,박건용,10028404
20119529,actor,김주혁,10005749
20119529,actor,유해진,10054128
20119529,actor,정려원,10061694
20195963,director,백승환,20267714
20195963,director,하수민,20313295
20195963,director,정인희,20313296
20195963,director,지일주,20313313
20195963,director,백승환,20267714
20195963,actor,정형석,20276669
20195963,actor,문종원,20176640
20195963,actor,조달환,10065609
20195963,actor,이지현,20313312
20195963,actor,조민재,20313314
20195963,actor,서동갑,20140581
20195963,actor,이영진,10056688
20195963,actor,백수장,10030313
20195963,actor,지일주,20313313
20195963,actor,강찬희,20313297
20195963,actor,백승환,20267714
20195963,actor,이병수,20313292
20195963,actor,부진서,20313293
20195963,actor,백주환,20313294
20195963,actor,백승환,20267714
20195963,actor,윤성우,20313332
20194941,director,사토 신스케,10034595
20194941,actor,사토 타케루,10056089
20194941,actor,키나시 노리타케,10007980
20120111,director,이공희,10054821
20120111,actor,정충구,20253059
20120111,actor,여민주,20253060
20120111,actor,김보령,20253061
20120111,actor,김병국,20253062
20191341,director,아녜스 바르다,10041121
20191341,actor,아녜스 바르다,10041121
20191341,actor,상드린 보네르,10034800
20181168,director,이옥섭,10056728
20181168,actor,이주영,20253250
20181168,actor,문소리,10026732
20181168,actor,구교환,20166705
20184243,director,정혁기,20174041
20184243,actor,엄태구,20111842
20184243,actor,이혜리,20277049
20184243,actor,김희원,10006545
20185341,director,박훈정,10029578
20185341,actor,김다미,20302909
20185341,actor,조민수,10065830
20185341,actor,박희순,10029595
20185341,actor,최우식,20174763
20100130,director,고레에다 히로카즈,20070799
20100130,actor,배두나,10030016
20100130,actor,아라타,10041598
20100130,actor,오다기리 죠,10050144
20100130,actor,이타오 이츠지,10057866
20177468,director,손현우,20112995
20177468,actor,조수하,20282649
20177468,actor,김경윤,20282650
20177468,actor,손현우,20112995
20177468,actor,이수아,10056146
20192083,director,팀 밀러,10081776
20192083,actor,맥켄지 데이비스,10025100
20192083,actor,아놀드 슈왈제네거,10041170
20192083,actor,린다 해밀턴,10020965
20192083,actor,나탈리아 레이즈,10032814
20192083,actor,가브리엘 루나,10077664
20110297,director,안상훈,20111254
20110297,actor,김하늘,10006171
20110297,actor,유승호,10053782
20180321,director,홍태선,20299732
20180321,director,임혁,20299714
20180321,actor,장금도,20299733
20180321,actor,김가애,20299734
20121241,director,김문흠,10004121
20121241,actor,조성하,10065946
20121241,actor,김석훈,10004499
20121241,actor,서영희,10035492
20121241,actor,이기영,20122862
20121241,actor,안길강,10042830
20121241,actor,추종범,20124956
20121241,actor,박희본,20113591
20161701,director,이동하,20231946
20162140,director,임흥순,20120501
20162140,actor,강유진,20328632
20162140,actor,김경주,20328633
20162140,actor,김광옥,20328615
20162140,actor,김미경,20328616
20162140,actor,김복주,20328634
20162140,actor,양수혜,20328635
20162140,actor,이설미,20328636
20162140,actor,이윤서,20328637
20162140,actor,이향,20328617
20162140,actor,한영란,20328638
20162140,actor,허윤창,20340160
20100312,director,크리스토퍼 놀란,10077460
20100312,actor,레오나르도 디카프리오,10015191
20197691,director,크리스 버틀러,20167240
20197691,actor,휴 잭맨,10090817
20197691,actor,조 샐다나,10065071
20197691,actor,자크 갈리피아나키스,10059374
20197691,actor,엠마 톰슨,10049649
20113743,director,이석훈,10055965
20113743,actor,황정민,10090290
20113743,actor,엄정화,10047352
20198414,director,최정열,20112573
20198414,actor,마동석,10021341
20198414,actor,박정민,20110693
20198414,actor,정해인,20219146
20198414,actor,염정아,10049852
20185784,director,육상효,10054185
20185784,actor,신하균,10040665
20185784,actor,이광수,20111692
